page,text_arabic_ocr
1,"دُكَانُ الصَّرَائب 6 ظ
مصطفي سلامة عبد السميع 1
محاسبون قانونيون ومستشارون |آأ 1
القاهرة - دبي ا
سه و9 عه
مَوْسَوعَ نه
00
للقوانيين الضرببية المصرية
01110111111
رقم - 11- لسنة ‎٠١١51‏
‏المقر الرئيسي بمصر:
48 حسن افلاطون -ارض الجولف - مصر الجديدة- القاهرة
ملح». نلق اع صق كل 00 . ننانثاناا دكن
مطلم». نه 0 اعصيلاه0 60 ه0آما ل كا
التليفون: 0
الأرضي: /77791111/1. د ما ك1
الهاتف: ‎.1١7757531.17/55‏ - لا"
2,"التعديالات
على احكام قانون الضردبة على القيمة المضافة
واللائحة التنفيذية
التعديلات على قانون الضردبة على القيمة المضافة:
طبيعة التعديل المادة رقم القانون تاريخ القانون
تعديل ‎١ ١‏ 6-يناير /11 ‎٠١‏
‏تعديل الجداول المرفقة 11 ؟7-نوفمبر-/11١١٠‏
تعديل-اضافة الجداول المرفقة ‎١‏ فبراير- ‎٠١7١‏
‏تعديل متعدد 3 9-أكتوير- ‎7.7٠.‏
‏تعديل متعدد 7 1"" -يناير 7.77
تعديل جدول السلع والخدمات ‎١‏ ""'-نوفمبر-77. ‎7١‏
‏تعديل - إضافة جدول السلع والخدمات لا ‎١‏ /١١-يوليو-70.؟‏"
3,"التعديلات على احكام اللائحة التنفيذية لقانون الضريبة على القيمة المضافة:

م طبيعة التعديل المادة رقم القرار الوزاري تاربخ القرار

7١ ١ا/-ربمفون-١ ‏تعديل 1 ض ؟‎ ١
٠١1١8-ربمسيد-‎ 5236 1 ‏تعديل‎ 1
٠.11-ربمسيد-١؟‎ 9 8 ‏تعديل‎ ١
7١١9-سرام- ‏خَ تعديل م ل‎
7١١19 ‏إضافة البند 04 قائمة الاعفاءات ا 8مايو-‎ 0
7.19 ‏تعديل 1 / /اا-نوفمبر-‎ 1
؟١١9-ربمفون-""/‎ 7١ ‏/ا اضافة مكرر‎
٠.7.-سرام-١ ‏اضافة ع مل‎ /
؟.7١ ‏/""-نوفمبر-‎ ١/ ‏تعديل مكرر‎ 8
7.7٠١ ‏إضافة 1 ركان 8-يوليو-‎ ٠
٠.7١ ‏تعديل ”,ع 03 -ديسمبر-‎ ١١
؟.7١-سرام-#‎ ١) 31 ‏إضافة‎ ١
7٠١17 ١-وينوي-'"" ‏تعديل متعدد أ‎ ١
7.7١7 - ‏تعديل ”7 00 د-سبتمبر‎ ١
7.77-رياني-١١ ‏تعديل متعدد ع3‎ ١
‏تعديل ف لاه ه-فبراير- 77 .؟‎ 5
7١ ‏ين اضافة مكرر 14 5-ابريل-717‎
7.77-ويام-١١/ ‏تعديل غ4"" مكرر اق‎ 1
7٠١ ‏تعديل المادة 0564 47 -مارس-70‎ 18
١١70ه‎ -ويام-٠‎ 5 09 -77/ ‏تعديل المادتين‎ 7”

٠١71 -ويلوي-١ا/ ‏كافة التعديلات السابقة حتى‎ ٠"
4,": القانون

مواد الإصدار مواد الاصدار ‎٠١١ ١‏

الباب الأول تعريفات ‎١ ١‏

الياب الثاني الضردبة على القيمة المضافة

الفصل الأول فرض الخبريبة واستحقاقها. ‎١‏ 9

الفصل الثاني القيمة. ‎١١00‏
‏الفصل الثالث الفواتير والاقرارات» والإخطارات» والدفاتر» والسجلات. ‎١ ١‏

الفصل الرابع التسجيل. 011 ‎5١‏
‏الفصل الخامس خصم الضريبة والاعفاء منها وردها. ”7 1
الفصل السادس تحصيل الضريبة. ‎7١‏ 0”
الباب الثالث ضريبة الجدول ”ع

الباب الرايع الاحكام العامة والرقابة واجراءات الطعن

الفصل الأول احكام عامة. ١ه‏

الفصل الثاني الرقاية. 05 05
الفصل الثالث إجراءات الطعن. مه 37

الفصل الرابع ‏ موظفو المصلحة وواجباتهم. 3000
الباب الخامس الجرائم والعقوبات 0011 ""ل
الباب السادس احكام ختامية 07 7

جدول سلع وخدمات تخضع لضريبة الجدول فقط.
الجداول جدول سلع وخدمات تخضع لضريبة الجدول وضرببة القيمة المضافة.
المركقة قائمة السلع والخدمات المعفاة من الضريبة على القيمة المضافة.
المحاسب القانوني 4 ا انها"
5,"فهرس القانون
من المواد ‎١‏ الى ‎٠١‏
‏06
‏دكان الضرائب تجميع واعداد: مصطفى سلامة عبد السميع مام .طأوءلاعصق ءامل ©م5طصا :اأقصط-ع 5
‎١‏ المحاسب القانوني 4 اأاأطهالا"
6,"قانون الاصدار قرار الاصدار

باسم الشعب: الضرببة على القيمة المضافة الصادر بالقانون رقم /11

قرر مجلس النواب القانون الآتي وقد أصدرناه: لسنة ‎٠١١5‏
‏وزير المالية
بعد الاطلاع على:
قانون بيع المحال التجارية ورهنها الصادر بالقانون رقم ‎١١‏
‏لسنة ‎2١95٠‏
‏وعلى القانون المدني الصادر بالقانون رقم ‎١17١‏ لسنة ‎2١95/7‏
‏وعلى قانون مزاولة مهنة المحاسبة والمراجعة الصادر
بالقانون رقم ‎١77”‏ لسنة ‎١90١‏ »
وعلى قانون الحجز الإداري الصادر بالقانون رقم ‎7١/8‏ لسنة
20
وعلى قانون البيوع التجارية الصادر بالقانون رقم ‎٠٠١‏ لسنة
/1ء
وعلى القانون رقم ‎٠١5‏ لسنة ‎١901‏ بشأن إعفاء العقود
الخاصة بالتسليح من الضرائب والرسوم والقواعد المالية»
وعلى قانون الجمارك الصادر بالقانون رقم 17 لسنة ‎2١977‏
‏وعلى القانون رقم 97 لسنة ‎١9715‏ بشأن تهريب التبغ»
وعلى قانون المرافعات في المواد المدنية والتجارية رقم ‎١7‏
‏لسنة /197»
وعلى قانون تأجير وبيع الأماكن وتنظيم العلاقة بين المالك
والمستأجر رقم 59 لسنة /ا/91١»‏
وعلى قانون ضريبة الدمغة رقم ‎١١١‏ لسنة ‎2١9/٠0‏
‏وعلى قانون شركات المساهمة وشركات التوصية بالأسهم
والشركات ذات المسئولية المحدودة الصادر بالقانون رقم
89 لسنة ‎2198١‏

المحاسب القانوني 4 0 0ع"
7,"وعلى القانون رقم ‎١87‏ لسنة ‎١987‏ بتنظيم الإعفاءات
الجمركية,
وعلى قانون ضمانات وحوافز الاستثمار الصادر بالقانون رقم
/ لسنة ‎١991‏ وعلى قانون تنظيم المناقصات والمزايدات
الصادر بالقانون رقم 9 لسنة ‎»١99/‏
‏وعلى قانون التجارة الصادر بالقانون رقم /ا١‏ لسنة ‎١999‏
‏وعلى قانون البنك المركزى والجهاز المصرفي والنقد الصادر
بالقانون رقم // لسنة ‎٠١١7‏
‏وعلى قانون تنظيم التوقيع الإلكتروني وإنشاءهيئة تنمية
صناعة تكنولوجيا المعلومات الصادر بالقانون رقم ‎١0‏ لسنة
2,20
وعلى قانون الضريبة على الدخل الصادر بالقانون رقم ‎1١‏
‏لسنة ‎2,5٠٠.00‏
‏وعلى قانون تنظيم الرقابة على الأسواق والأدوات المالية غير
المصرفية الصادر بالقانون رقم ‎٠١‏ لسنة ‎2٠١١9‏
‏وعلى قانون الضريبة على القيمة المضافة الصادر بالقانون
رقم /71 لسنة ‎205١١5‏
‏وعلى قرار وزير المالية رقم ‎١771‏ لسنة ‎١99/7‏ بشأن إصدار
اللائحة التنفيذية لقانون تنظيم المناقصات والمزايدات»
وعلى قرار وزير المالية رقم 59/ لسنة ‎٠٠١١‏ بشأن إصدار
اللائحة التنفيذيه لقانون الخبريبة العامة على المبيعات
الصادر بالقانون ‎١١‏ لسنة ‎.١99١‏
‏وعلى قرار وزير المالية رقم ‎/1١‏ لسنة ‎٠٠٠١0‏ بشأن إصدار
اللائحة التنفيذية لقانون تنظيم الإعفاءات الجمركية»
وعلى ما أرتاه مجلس الدولة.

المحاسب القانوني 77004 أاضخطه ما"
8,"قرر

(المادة الاولي) (المادة الاوى)
يعمل بأحكام القانون المرافق في شأن الضريبة على القيمة يعمل باللائحة التنفيذية المرافقة في شأن قانون الضريبة على
المضافة. القيمة المضافة الصادر بالقانون رقم /11 لسنة ‎.5١١7‏

(المادة الثانية) (المادة الثانية)
يلغي قانون الضريبة العامة على المبيعات الصادر بالقانون رقم | تلغى اللائحة التنفيذية لقانون الضريبة العامة على المبيعات
‎١‏ لسنة ‎.١1991١‏ الصادرة بقرار وزير المالية رقم 59/ لسنة ‎,5٠٠١١‏ على أن
كما يلغي كل نص يتعارض مع احكام هذا القانون على أن تستمر | يستمر العمل بأحكام الفصل السابع مكرراً منها خلال المدة
لجان التوفيق والتظلمات المشكلة وفقا لأحكام قانون الضريبة | المحددة بالمادة الثانية من القانون رقم 117 لسنة ‎5١١5‏
‏العامة على المبيعات المشار إليه في نظر الطعون الضريبية | المشار إلية» على أن تحال بعدها الطعون التي لم يفصل فيها
المعروضة عليها لمدة ثلاث أشهر على ان تحال بعدها الطعون | إلى اللجان المنصوص عليها في قانون الضريبة على القيمة
التي لم يفصل فيها إلى اللجان المنصوص عليها في القانون | المضافة.
المرافق.

(المادة الثالثة)
يستبدل بعبارة مصلحة الضرائب على المبيعات اينما وردت في
القوانين والقرارات واللوائح المعمول بها عبارة مصلحة الضرائب
المصرية.

(المادة الرابعة) (المادة الثالثة)
يستمر المسجل في ظل أحكام قانون الضريبة العامة على | في تطبيق أحكام المادة الرابعة من القانون رقم 11 لسنة
المبيعات برقم تسجيله إذا بلغت أو جاوزت قيمة مبيعاته حد | ‎٠١١17‏ المشار إليه يستمركل مسجل في ظل أحكام قانون
التسجيل المنصوص عليه في القانون المرافق كما يستمر | الضرببة العامة على المبيعات برقم تسجيله في الاحوال
تسجيل المستورد لسلعه. الآنية:
خاضعه للضريبة وكذلك كل منتج أو مستورد لسلعه من سلع | ‎-١‏ إذا بلغ أوتجاوزإجمالي قيمة مبيعاته من السلع والخدمات
الجدول المرافق بقانون الضريبة العامة على المبيعات إذا | الخاضعة للضريبة والمعفاة منها حد التسجيل المنصوص

عليه في قانون الضريبة على القيمة المضافة
المحاسب القانوني 004 0 0 اما"
9,"أدرجت ذات السلعة في الجدول المرائق لهذا القانون مهماكان ؟- إذا كان منتجاً أو مستورداً لسلعة من سلع الجدول رقم ‎)١(‏
‏حجم معاملاته وعليه الالتزام بكافة احكام القانون المرافق. المرافق لقانون الضريبة العامة على المبيعات وتم إدراج هذه
كما يلتزم بتوريد الضريبة العامة على المبيعات المستحقة عليه | السلعة في الجدول المرافق لقانون الضريبة على القيمة
رفق إقراراته وفى المواعيد المقررة وفقا لأحكام هذا القانون | المضافة مهماكان حجم معاملاته.
وعليه الاحتفاظ بالدفاتر والسجلات والمستندات لمدة خمس | ”- إذا كان مستورداً لسلع خاضعة لضريبة القيمة المضافة
سنوات تاليه لتاريخ العمل بهذا القانون وذلك طبقا للشروط | مهماكان حجم معاملاته.
والضوابط التي تحددها اللائحة التنفيذية لهذا القانون. وفى | ويلتزم المسجل بتوريد الضريبة العامة على المبيعات
حالة الإخلال بأي من الأحكام المنصوص عليها في الفقرتين | المستحقة عليه التي لم يحن ميعاد توريدها في تاريخ العمل
السابقتين يعد المسجل متهربا وفقا لأحكام القانون المرافق | بقانون الضريبة على القيمة المضافة» والاحتفاظ بالدفاتر
وللمصلحة من واقع أي بيانات أو مستندات متاحه لديها تعديل | والسجلات وفقاً للشروط والضوابط الآتية:
الإقرارات واتخاذ الإجراءات القانونية لتحصيل ضريبة المبيعات | (أ) أن يتم توريد الضريبة العامة على المبيعات المستحقة التي
المستحقةء وللمسجل الحق في الطعن في ذلك وفقا لأحكام | لم يحن ميعاد توريدها للمصلحة على النماذج المعمول بها
القانون المرافق. وفقاً لأحكام قانون الضريبة العامة على المبيعات بالمواعيد
والإجراءات ذاتها المنصوص عليها في قانون الضريبة على
القيمة المضافة.
(ب) أن يستمر في إصدار الفواتير الضريبية وتحصيل وتوريد
الضريبة رفق إقراراته الضردبية.
(ج) أن يحتفظ بالدفاتر والسجلات والمستندات لمدة
خمس سنوات تبدأ من تاريخ العمل بقانون الضريبة على
القيمة المضافة.
(د) أن يستوفي نموذج تحديث البيانات رقم (1ض.ق.م) وفقا
لأخر موقف للمسجل وتسليمه للمأمورية المسجل لديها.
() أن يحتفظ برقم تسجيله في ظل قانون الضريبة العامة
على المبيعات وان يستبدل شهادة التسجيل
المحاسب القانوني 77004 أاضخطه ما"
10,"(المادة الخامسة) (المادة الرابعة)
يلغي تلقائيا تسجيل كل من لم يبلغ حد التسجيل المنصوص | في تطبيق أحكام المادة الخامسة من القانون رقم 71 لسنة
عليه في القانون المرافق ما لم يطلب خلال ستين يوماً من تاريخ | ‎7٠١١17‏ المشار إليهء على من يرغب في استمرار تسجيله أن
العمل به استمرار تسجيله وعلى من الغي تسجيله تقديم اقرار | يطلب من المأمورية المسجل لديها رغبته في الاستمرار خلال
ضربي عن اخر فترة ضريبية قبل الالغاء وكذا الفترات الضريبية | ستين يوما من تاريخ العمل بأحكام القانون» وعلى من ألغى
الي لم يحل ميعاد تقديم إقراراتها خلال ثلاثين يوما من تاريخ | تسجيله الالتزام بما يلي:
العمل بهذا القانون مبينا به رصيد اخر المدة من الانتاج التام | ١-تسليم‏ شهادة التسجيل.
والخامات والخدمات ؟-الامتناع عن تقديم نفسه بأي صورة من الصور على انه
وبلتزم بأداء ما يستحق عليه خلال ستة أشهر من تاريخ العمل | مسجل اعتبارا من تاريخ العمل بأحكام القانون.
بهذا القانون كما يلتزم بأن يحتفظ بالدفاتر والسجلات | ”-تقديم الاقرار الضربي النهائي على النموذج رقم (؟؟١‏
والمستندات لمدة خمس سنوات تالية لتاريخ الغاء تسجيله | ض.ق.م) خلال ثلاثين يوما من تاريخ العمل بأحكام القانون.
وعليه تمكين موظفي المصلحة من الاطلاع عليها. :-تقديم بيان بما لديه من مخزون على النموذج رقم ‎١77(‏
‏وللمصلحة من واقع أي مستندات أو بيانات متاحه لديها تعديل | ض.ق.م) خلال ثلاثين يوما من تاريخ العمل بأحكام القانون.
الاقرارات واتخاذ الإجراءات القانونية لتحصيل الخبريبة | 0-أداء ما يستحق عليه خلال سته أشهر من تاريخ العمل
المستحقة ولمن الغي تسجيله الطعن في ذلك وفقآ لأحكام | بأحكام القانون.
القانون المرافق. 1-الإحتفاظ بالدفاتر والسجلات والمستندات التي تخص
فترة ثلاث سنوات السابقة على تطبيق قانون الضريبة على
القيمة المضافة» وذلك لمدة خمس سنوات تبدأ من تاريخ
العمل بأحكام القانون.
(المادة السادسة) (المادة الخامسة)
للمسجل في ظل العمل بأحكام هذا القانون خصم قيمة الضريبة | في تطبيق أحكام المادة (السادسة) من القانون رقم 117
العامة على المبيعات الواجبة الخصم التي يعبر عنها الرصيد | لسنة ‎7١١17‏ المشار إليهء تراعى الشروط والضوابط الآتية:
الدائن له قبل سربان احكامه. ١-إمساك‏ دفاتر وسجلات محاسبية منتظمة.
المحاسب القانوني 4 ا060726 عاط"
